customer_id,arrival_time,service_start,service_end,wait_time_hr,wait_time_min,service_time_hr,service_time_min,queue_at_arrival,servers_busy,day,hour,in_rush_hour,long_wait,served
1181,39.9286,39.9286,40.0228,0.0,0.0,0.0942,5.65,5,3,5,7,0,0,1
1183,39.9694,40.0228,40.0448,0.0534,3.21,0.022,1.32,4,3,5,7,0,0,1
1180,39.8732,39.8961,40.0537,0.0229,1.37,0.1576,9.46,3,3,5,7,0,0,1
1185,39.9851,40.0537,40.0707,0.0686,4.12,0.017,1.02,2,3,5,7,0,0,1
1184,39.9787,40.0448,40.0881,0.0661,3.97,0.0433,2.6,1,3,5,7,0,0,1
1187,40.0183,40.0881,40.1352,0.0698,4.19,0.0472,2.83,2,3,6,0,0,0,1
1188,40.1243,40.1352,40.1535,0.0109,0.65,0.0183,1.1,1,3,6,0,0,0,1
1186,39.9909,40.0707,40.156,0.0798,4.79,0.0852,5.11,0,3,5,7,0,0,1
1189,40.1253,40.1535,40.2283,0.0282,1.69,0.0747,4.48,3,3,6,0,0,0,1
1191,40.1734,40.2283,40.2337,0.0548,3.29,0.0054,0.32,2,3,6,0,0,0,1
1192,40.1811,40.2337,40.2426,0.0525,3.15,0.0089,0.54,1,3,6,0,0,0,1
1190,40.157,40.157,40.2587,0.0,0.0,0.1017,6.1,0,3,6,0,0,0,1
1182,39.9634,39.9656,40.3097,0.0022,0.13,0.3441,20.64,1,3,5,7,0,0,1
1194,40.2828,40.2828,40.3156,0.0,0.0,0.0329,1.97,1,3,6,0,0,0,1
1195,40.2897,40.3097,40.3351,0.02,1.2,0.0254,1.52,0,3,6,0,0,0,1
1196,40.3101,40.3156,40.3782,0.0056,0.34,0.0625,3.75,0,3,6,0,0,0,1
1193,40.2276,40.2426,40.4139,0.015,0.9,0.1713,10.28,0,3,6,0,0,0,1
1197,40.3762,40.3762,40.452,0.0,0.0,0.0757,4.54,0,3,6,0,0,0,1
1198,40.4102,40.4102,40.4839,0.0,0.0,0.0737,4.42,0,3,6,0,0,0,1
1201,40.488,40.488,40.5174,0.0,0.0,0.0294,1.77,0,3,6,0,0,0,1
1202,40.5288,40.5288,40.5362,0.0,0.0,0.0074,0.44,0,3,6,0,0,0,1
1203,40.5606,40.5606,40.571,0.0,0.0,0.0105,0.63,1,3,6,0,0,0,1
1204,40.5653,40.571,40.5879,0.0057,0.34,0.0168,1.01,1,3,6,0,0,0,1
1200,40.456,40.456,40.596,0.0,0.0,0.1401,8.4,0,3,6,0,0,0,1
1199,40.4417,40.4417,40.5973,0.0,0.0,0.1556,9.34,0,2,6,0,0,0,1
1206,40.6169,40.6169,40.6293,0.0,0.0,0.0124,0.74,0,2,6,0,0,0,1
1205,40.5775,40.5879,40.6474,0.0104,0.62,0.0596,3.58,0,2,6,0,0,0,1
1207,40.635,40.635,40.6521,0.0,0.0,0.0171,1.03,0,2,6,0,0,0,1
1208,40.6511,40.6511,40.7496,0.0,0.0,0.0985,5.91,1,3,6,0,0,0,1
1210,40.7193,40.7193,40.7753,0.0,0.0,0.0561,3.36,3,3,6,0,0,0,1
1212,40.7513,40.7753,40.7761,0.024,1.44,0.0008,0.05,2,3,6,0,0,0,1
1211,40.7463,40.7496,40.7811,0.0034,0.2,0.0315,1.89,1,3,6,0,0,0,1
1213,40.7713,40.7761,40.7884,0.0048,0.29,0.0122,0.73,1,3,6,0,0,0,1
1215,40.788,40.7884,40.847,0.0004,0.02,0.0587,3.52,0,3,6,0,0,0,1
1214,40.7731,40.7811,40.9218,0.008,0.48,0.1407,8.44,1,3,6,0,0,0,1
1216,40.8986,40.8986,40.9948,0.0,0.0,0.0962,5.77,4,3,6,0,0,0,1
1218,40.9393,40.9948,41.0236,0.0555,3.33,0.0288,1.73,4,3,6,0,0,0,1
1217,40.9214,40.9218,41.0745,0.0004,0.03,0.1527,9.16,6,3,6,0,0,0,1
1219,40.9616,41.0236,41.0879,0.0619,3.72,0.0643,3.86,5,3,6,0,0,0,1
1221,40.9656,41.0879,41.1544,0.1223,7.34,0.0665,3.99,8,3,6,0,0,1,1
1222,41.0133,41.1544,41.1924,0.1411,8.46,0.0381,2.29,7,3,6,1,0,1,1
1220,40.9645,41.0745,41.1955,0.11,6.6,0.121,7.26,6,3,6,0,0,1,1
1224,41.0301,41.1955,41.199,0.1653,9.92,0.0035,0.21,5,3,6,1,0,1,1
1225,41.0505,41.199,41.3048,0.1485,8.91,0.1058,6.35,6,3,6,1,0,1,1
1226,41.0957,41.3048,41.3138,0.2091,12.54,0.009,0.54,5,3,6,1,0,1,1
1223,41.024,41.1924,41.3366,0.1684,10.11,0.1441,8.65,4,3,6,1,0,1,1
1209,40.6847,40.6847,41.4519,0.0,0.0,0.7672,46.03,5,3,6,0,0,0,1
1228,41.1038,41.3366,41.4525,0.2328,13.97,0.116,6.96,4,3,6,1,0,1,1
1227,41.0997,41.3138,41.4615,0.2141,12.84,0.1477,8.86,3,3,6,1,0,1,1
1230,41.2113,41.4525,41.4882,0.2412,14.47,0.0357,2.14,2,3,6,1,0,1,1
1229,41.1535,41.4519,41.5017,0.2984,17.9,0.0498,2.99,1,3,6,1,0,1,1
1232,41.3904,41.4882,41.5364,0.0978,5.87,0.0482,2.89,0,3,6,1,0,1,1
1231,41.2376,41.4615,41.6029,0.2239,13.43,0.1414,8.48,0,2,6,1,0,1,1
1234,41.6449,41.6449,41.6675,0.0,0.0,0.0225,1.35,0,2,6,1,0,0,1
1235,41.6948,41.6948,41.7686,0.0,0.0,0.0739,4.43,1,3,6,1,0,0,1
1237,41.7646,41.7686,41.7838,0.004,0.24,0.0151,0.91,0,3,6,1,0,0,1
1238,41.798,41.798,41.8173,0.0,0.0,0.0193,1.16,3,3,6,1,0,0,1
1239,41.803,41.8173,41.8448,0.0143,0.86,0.0275,1.65,3,3,6,1,0,0,1
1236,41.7502,41.7502,41.8536,0.0,0.0,0.1034,6.2,3,3,6,1,0,0,1
1240,41.8108,41.8448,41.8774,0.0341,2.04,0.0326,1.96,2,3,6,1,0,0,1
1241,41.8128,41.8536,41.8821,0.0408,2.45,0.0285,1.71,1,3,6,1,0,0,1
1242,41.8272,41.8774,41.9033,0.0502,3.01,0.0259,1.56,1,3,6,1,0,0,1
1233,41.4022,41.5017,41.9274,0.0995,5.97,0.4257,25.54,0,3,6,1,0,1,1
1244,41.8936,41.9033,41.9981,0.0098,0.59,0.0948,5.69,0,2,6,1,0,0,1
1243,41.853,41.8821,42.0448,0.0291,1.75,0.1627,9.76,0,3,6,1,0,0,1
1246,42.038,42.038,42.2472,0.0,0.0,0.2092,12.55,0,3,6,2,0,0,1
1247,42.0894,42.0894,42.2575,0.0,0.0,0.1681,10.09,1,3,6,2,0,0,1
1245,42.0347,42.0347,42.3089,0.0,0.0,0.2742,16.45,1,3,6,2,0,0,1
1249,42.2569,42.2575,42.3611,0.0006,0.04,0.1036,6.21,1,3,6,2,0,0,1
1251,42.3253,42.3611,42.4171,0.0358,2.15,0.056,3.36,3,3,6,2,0,0,1
1248,42.2524,42.2524,42.4199,0.0,0.0,0.1675,10.05,3,3,6,2,0,0,1
1250,42.2665,42.3089,42.4283,0.0424,2.54,0.1194,7.17,2,3,6,2,0,0,1
1254,42.402,42.4283,42.4365,0.0263,1.58,0.0081,0.49,1,3,6,2,0,0,1
1252,42.3628,42.4171,42.4672,0.0542,3.25,0.0501,3.01,2,3,6,2,0,0,1
1255,42.4198,42.4365,42.4969,0.0167,1.0,0.0604,3.62,1,3,6,2,0,0,1
1256,42.4533,42.4672,42.5056,0.0139,0.83,0.0384,2.3,0,3,6,2,0,0,1
1258,42.556,42.556,42.5562,0.0,0.0,0.0002,0.01,0,3,6,2,0,0,1
1253,42.3916,42.4199,42.5967,0.0284,1.7,0.1768,10.61,0,3,6,2,0,0,1
1260,42.6188,42.6188,42.6699,0.0,0.0,0.0511,3.07,1,3,6,2,0,0,1
1259,42.5692,42.5692,42.6791,0.0,0.0,0.11,6.6,0,3,6,2,0,0,1
1261,42.6625,42.6699,42.7068,0.0074,0.44,0.037,2.22,1,3,6,2,0,0,1
1257,42.4642,42.4969,42.747,0.0327,1.96,0.2501,15.0,3,3,6,2,0,0,1
1263,42.7011,42.7068,42.7536,0.0058,0.35,0.0468,2.81,2,3,6,2,0,0,1
1262,42.6989,42.6989,42.7626,0.0,0.0,0.0637,3.82,1,3,6,2,0,0,1
1264,42.7093,42.747,42.7813,0.0377,2.26,0.0343,2.06,0,3,6,2,0,0,1
1267,42.7864,42.7864,42.8215,0.0,0.0,0.0351,2.11,1,3,6,2,0,0,1
1265,42.7172,42.7536,42.8255,0.0364,2.19,0.0719,4.31,0,3,6,2,0,0,1
1268,42.8085,42.8215,42.8256,0.013,0.78,0.0041,0.25,0,2,6,2,0,0,1
1266,42.7276,42.7626,42.8322,0.035,2.1,0.0696,4.18,0,1,6,2,0,0,1
1270,42.8503,42.8503,42.8613,0.0,0.0,0.0111,0.66,0,2,6,2,0,0,1
1271,42.8708,42.8708,42.9193,0.0,0.0,0.0485,2.91,0,2,6,2,0,0,1
1269,42.8468,42.8468,42.9744,0.0,0.0,0.1277,7.66,2,3,6,2,0,0,1
1274,42.9433,42.9744,42.9888,0.0311,1.87,0.0144,0.87,2,3,6,2,0,0,1
1275,42.948,42.9888,43.0155,0.0408,2.45,0.0267,1.6,1,3,6,2,0,0,1
1273,42.9358,42.9358,43.033,0.0,0.0,0.0972,5.83,0,3,6,2,0,0,1
1276,42.983,43.0155,43.1041,0.0325,1.95,0.0886,5.32,1,3,6,2,0,0,1
1277,43.073,43.073,43.1117,0.0,0.0,0.0387,2.32,0,3,6,3,0,0,1
1278,43.0826,43.1041,43.1192,0.0215,1.29,0.0151,0.9,0,2,6,3,0,0,1
1279,43.1606,43.1606,43.191,0.0,0.0,0.0304,1.82,0,3,6,3,0,0,1
1280,43.1775,43.1775,43.1997,0.0,0.0,0.0222,1.33,0,2,6,3,0,0,1
1272,42.9358,42.9358,43.2,0.0,0.0,0.2642,15.85,0,1,6,2,0,0,1
1283,43.2531,43.2531,43.2745,0.0,0.0,0.0214,1.28,1,3,6,3,0,0,1
1284,43.2578,43.2745,43.2752,0.0166,1.0,0.0008,0.05,0,3,6,3,0,0,1
1282,43.253,43.253,43.307,0.0,0.0,0.054,3.24,0,3,6,3,0,0,1
1281,43.2175,43.2175,43.3189,0.0,0.0,0.1014,6.08,0,2,6,3,0,0,1
1286,43.3355,43.3355,43.3812,0.0,0.0,0.0457,2.74,0,2,6,3,0,0,1
1285,43.2958,43.2958,43.4374,0.0,0.0,0.1416,8.49,0,1,6,3,0,0,1
1287,43.4833,43.4833,43.4894,0.0,0.0,0.0061,0.37,0,2,6,3,0,0,1
