passenger_id,arrival_time,screening_start,screening_end,wait_time_hr,wait_time_min,screening_time_min,total_time_min,checkpoint_id,passenger_type,secondary_check,queue_at_arrival,day,hour,hourly_factor,miss_flight_risk,sla_met,is_peak,long_wait
635559,5544.2378,5544.2378,5544.2456,0.0,0.0,0.47,0.47,3,Priority,0,1,309,5,0.3,0,1,0,0
573362,4999.5789,5000.8965,5000.9263,1.3176,79.06,1.78,80.84,5,Standard,0,4,278,18,1.3,1,0,1,1
667497,5821.5757,5822.472,5822.5246,0.8963,53.78,3.16,56.93,4,Enhanced,0,4,324,12,1.1,1,0,0,1
724333,6314.4112,6315.5879,6315.6436,1.1767,70.6,3.34,73.95,2,Standard,0,4,351,19,1.1,1,0,0,1
399402,3481.6878,3482.5226,3482.5524,0.8348,50.09,1.79,51.88,5,Standard,0,4,194,12,1.1,1,0,0,1
121211,1052.655,1053.8827,1053.927,1.2276,73.66,2.66,76.32,5,Standard,0,4,59,13,1.0,1,0,0,1
94185,817.5345,818.2708,818.3,0.7363,44.18,1.75,45.93,4,Standard,0,4,46,12,1.1,1,0,0,1
675251,5889.5685,5889.99,5890.01,0.4215,25.29,1.2,26.49,2,Crew,0,4,328,8,1.5,1,0,1,1
140150,1217.5379,1217.567,1217.6124,0.0292,1.75,2.72,4.47,3,Standard,0,4,68,16,1.2,0,1,1,0
455939,3972.0495,3972.2868,3972.3087,0.2373,14.24,1.31,15.55,1,Standard,0,4,221,17,1.4,0,0,1,1
391544,3412.021,3412.021,3412.0541,0.0,0.0,1.98,1.98,3,Standard,0,4,190,15,0.8,0,1,0,0
102610,890.273,891.6096,891.6386,1.3366,80.19,1.74,81.93,4,Standard,0,4,50,13,1.0,1,0,0,1
724255,6313.7916,6315.0448,6315.0802,1.2532,75.19,2.12,77.32,1,Standard,0,4,351,18,1.3,1,0,1,1
427065,3720.6444,3721.3113,3721.3325,0.6669,40.01,1.27,41.29,3,Priority,0,4,207,17,1.4,1,0,1,1
603671,5264.5932,5264.9529,5264.9597,0.3598,21.59,0.41,21.99,1,Priority,0,4,293,13,1.0,1,0,0,1
184194,1606.5438,1607.1058,1607.1419,0.562,33.72,2.16,35.88,1,Standard,0,4,90,9,1.2,1,0,1,1
181046,1578.242,1578.6351,1578.6943,0.3931,23.59,3.55,27.14,4,Enhanced,0,4,88,17,1.4,1,0,1,1
589330,5139.9622,5141.1819,5141.2299,1.2196,73.18,2.88,76.06,5,Standard,0,4,286,14,0.7,1,0,0,1
518255,4519.5034,4519.5034,4519.5378,0.0,0.0,2.06,2.06,2,Standard,0,2,252,6,0.8,0,1,0,0
