passenger_id,arrival_time,screening_start,screening_end,wait_time_hr,wait_time_min,screening_time_min,total_time_min,checkpoint_id,passenger_type,secondary_check,queue_at_arrival,day,hour,hourly_factor,miss_flight_risk,sla_met,is_peak,long_wait
740381,6456.2043,6457.288,6457.3115,1.0837,65.02,1.41,66.43,1,Standard,0,4,359,17,1.4,1,0,1,1
405533,3534.5024,3535.4338,3535.4641,0.9314,55.88,1.82,57.7,1,Priority,0,4,197,11,1.0,1,0,0,1
79727,691.9112,693.2214,693.3316,1.3102,78.61,6.61,85.22,3,Enhanced,0,4,39,12,1.1,1,0,0,1
29529,256.1148,256.6124,256.6428,0.4977,29.86,1.82,31.68,3,Standard,0,4,15,9,1.2,1,0,1,1
70287,609.3587,610.6817,610.7207,1.323,79.38,2.34,81.72,1,Standard,0,4,34,20,0.8,1,0,0,1
219753,1915.0783,1916.0047,1916.0314,0.9264,55.58,1.6,57.19,5,Standard,0,4,107,12,1.1,1,0,0,1
152616,1327.7755,1328.6791,1328.7219,0.9035,54.21,2.57,56.78,1,Standard,0,4,74,18,1.3,1,0,1,1
163446,1424.5889,1424.8262,1424.8487,0.2373,14.24,1.35,15.59,4,Priority,0,4,80,7,1.4,0,0,1,1
325464,2835.4481,2836.3794,2836.4001,0.9313,55.88,1.24,57.12,1,Standard,0,4,158,14,0.7,1,0,0,1
725026,6321.5686,6322.2739,6322.31,0.7053,42.32,2.17,44.48,5,Standard,0,4,352,8,1.5,1,0,1,1
408726,3561.1959,3562.5016,3562.5449,1.3057,78.34,2.6,80.94,3,Standard,0,4,198,20,0.8,1,0,0,1
388834,3388.1732,3389.0028,3389.0267,0.8296,49.78,1.43,51.21,5,Standard,0,4,189,9,1.2,1,0,1,1
5658,48.5284,49.2828,49.3029,0.7544,45.26,1.21,46.47,5,Standard,0,4,3,17,1.4,1,0,1,1
670020,5843.7668,5844.0618,5844.0934,0.295,17.7,1.9,19.6,3,Standard,0,4,325,16,1.2,1,0,1,1
130013,1128.8917,1130.0733,1130.111,1.1816,70.89,2.26,73.16,2,Standard,0,4,63,17,1.4,1,0,1,1
435144,3790.7361,3790.7361,3790.7586,0.0,0.0,1.35,1.35,1,Standard,0,2,211,15,0.8,0,1,0,0
64654,561.9977,562.9201,562.9358,0.9225,55.35,0.94,56.29,3,Crew,0,4,32,8,1.5,1,0,1,1
156027,1359.2039,1359.8673,1359.8887,0.6634,39.81,1.28,41.09,4,Priority,0,4,76,14,0.7,1,0,0,1
598837,5223.8658,5224.5962,5224.6153,0.7304,43.83,1.15,44.97,1,Crew,0,4,291,8,1.5,1,0,1,1
148166,1289.9221,1290.1336,1290.1542,0.2115,12.69,1.23,13.93,2,Standard,0,4,72,16,1.2,0,0,1,1
525666,4583.0154,4584.0738,4584.0885,1.0584,63.5,0.88,64.38,5,Standard,0,4,255,16,1.2,1,0,1,1
681058,5939.1671,5939.894,5940.3597,0.7269,43.61,27.94,71.56,2,Enhanced,1,4,330,22,0.3,1,0,0,1
734899,6409.0052,6409.0052,6409.038,0.0,0.0,1.97,1.97,5,Priority,0,0,357,6,0.8,0,1,0,0
84144,730.2771,730.7287,730.7647,0.4516,27.1,2.16,29.25,5,Priority,0,4,41,15,0.8,1,0,0,1
26849,231.5186,232.5651,232.5884,1.0465,62.79,1.39,64.19,3,Standard,0,4,13,20,0.8,1,0,0,1
427546,3724.2616,3725.233,3725.2732,0.9714,58.28,2.42,60.7,4,Standard,0,4,207,21,0.5,1,0,0,1
503355,4386.8974,4387.5672,4387.5981,0.6697,40.18,1.85,42.04,4,Standard,0,4,244,17,1.4,1,0,1,1
468041,4077.8626,4079.094,4079.3955,1.2314,73.89,18.09,91.98,2,Enhanced,1,4,227,14,0.7,1,0,0,1
137248,1192.3592,1193.2292,1193.2547,0.87,52.2,1.53,53.73,4,Priority,0,4,67,9,1.2,1,0,1,1
681567,5943.9718,5944.6564,5944.6849,0.6846,41.07,1.71,42.78,1,Priority,0,4,331,8,1.5,1,0,1,1
614178,5357.0026,5357.0026,5357.0154,0.0,0.0,0.77,0.77,5,Standard,0,3,298,16,1.2,0,1,1,0
492283,4291.4994,4292.0798,4292.136,0.5804,34.82,3.37,38.19,3,Standard,0,4,239,12,1.1,1,0,0,1
240304,2096.6683,2097.5014,2097.5324,0.833,49.98,1.86,51.84,2,Priority,0,4,117,13,1.0,1,0,0,1
589608,5142.2354,5143.6558,5143.6805,1.4203,85.22,1.48,86.7,1,Priority,0,4,286,17,1.4,1,0,1,1
151893,1321.9792,1322.746,1322.7614,0.7668,46.01,0.92,46.93,4,Priority,0,4,74,12,1.1,1,0,0,1
540047,4708.9647,4709.8081,4709.8251,0.8434,50.6,1.02,51.62,4,Standard,0,4,262,15,0.8,1,0,0,1
324411,2827.9597,2827.9701,2827.9821,0.0104,0.63,0.72,1.34,1,Standard,0,4,158,6,0.8,0,1,0,0
588663,5134.3092,5135.4893,5135.5512,1.1802,70.81,3.71,74.52,4,Standard,0,4,286,9,1.2,1,0,1,1
506507,4414.8497,4415.5367,4415.5622,0.687,41.22,1.53,42.75,1,Standard,0,4,246,9,1.2,1,0,1,1
287856,2509.8035,2510.5597,2510.6012,0.7562,45.37,2.49,47.86,1,Standard,0,4,140,12,1.1,1,0,0,1
432939,3771.6308,3772.2302,3772.2573,0.5994,35.96,1.63,37.59,4,Standard,0,4,210,14,0.7,1,0,0,1
273519,2385.9108,2386.5014,2386.5573,0.5906,35.44,3.35,38.79,1,Standard,0,4,133,14,0.7,1,0,0,1
136427,1184.5021,1185.7919,1186.0068,1.2898,77.39,12.89,90.28,1,Enhanced,1,4,66,19,1.1,1,0,0,1
416833,3631.9771,3633.822,3633.9066,1.8449,110.7,5.08,115.77,5,Standard,0,4,202,18,1.3,1,0,1,1
202885,1770.2341,1770.9448,1770.9729,0.7107,42.64,1.68,44.33,2,Standard,0,4,99,11,1.0,1,0,0,1
346091,3014.3776,3015.0704,3015.1169,0.6928,41.57,2.79,44.36,1,Standard,0,4,168,13,1.0,1,0,0,1
313585,2731.6417,2732.8385,2732.8839,1.1968,71.81,2.73,74.53,5,Standard,0,4,152,18,1.3,1,0,1,1
216625,1886.8056,1887.7039,1887.7192,0.8983,53.9,0.92,54.82,2,Standard,0,4,105,19,1.1,1,0,0,1
382098,3327.6378,3328.3149,3328.3359,0.6771,40.62,1.26,41.89,2,Standard,0,4,185,20,0.8,1,0,0,1
370971,3231.8317,3232.2716,3232.3251,0.4399,26.4,3.21,29.6,3,Enhanced,0,4,180,14,0.7,1,0,0,1
691482,6031.0701,6031.0701,6031.0947,0.0,0.0,1.47,1.47,4,Crew,0,3,336,6,0.8,0,1,0,0
68373,594.1718,594.1718,594.2086,0.0,0.0,2.21,2.21,3,Standard,0,1,34,5,0.3,0,1,0,0
276360,2409.3585,2410.4925,2410.5351,1.134,68.04,2.55,70.59,3,Enhanced,0,4,134,20,0.8,1,0,0,1
672387,5863.8016,5864.8404,5864.89,1.0388,62.33,2.98,65.31,2,Standard,0,4,326,18,1.3,1,0,1,1
43306,374.9121,376.1696,376.4393,1.2575,75.45,16.18,91.64,2,Enhanced,1,4,21,19,1.1,1,0,0,1
716006,6242.407,6243.989,6244.028,1.582,94.92,2.34,97.26,2,Standard,0,4,347,19,1.1,1,0,0,1
598436,5221.0483,5221.0483,5221.0854,0.0,0.0,2.22,2.22,5,Priority,0,4,291,6,0.8,0,1,0,0
414690,3613.9529,3614.7563,3614.7764,0.8034,48.2,1.2,49.41,5,Standard,0,4,201,18,1.3,1,0,1,1
717629,6257.3885,6258.6755,6258.7135,1.287,77.22,2.28,79.5,2,Standard,0,4,348,16,1.2,1,0,1,1
492169,4290.6316,4291.2284,4291.3335,0.5968,35.81,6.31,42.11,2,Enhanced,0,4,239,11,1.0,1,0,0,1
219533,1912.977,1914.3434,1914.4039,1.3665,81.99,3.63,85.62,4,Standard,0,4,107,9,1.2,1,0,1,1
236987,2066.1004,2068.0316,2068.0758,1.9312,115.87,2.66,118.52,4,Standard,0,4,115,19,1.1,1,0,0,1
157021,1369.5216,1369.5216,1369.5416,0.0,0.0,1.2,1.2,2,Priority,0,3,77,6,0.8,0,1,0,0
394592,3439.9971,3439.9971,3440.0409,0.0,0.0,2.63,2.63,1,Priority,0,4,192,6,0.8,0,1,0,0
258266,2253.9982,2254.9799,2255.0044,0.9817,58.9,1.47,60.37,3,Standard,0,4,126,8,1.5,1,0,1,1
559639,4880.9351,4881.0647,4881.0932,0.1297,7.78,1.71,9.49,4,Standard,0,4,272,7,1.4,0,1,1,0
713016,6217.2324,6218.1919,6218.2691,0.9595,57.57,4.63,62.2,1,Enhanced,0,4,346,12,1.1,1,0,0,1
205830,1794.8181,1796.1191,1796.1567,1.3011,78.06,2.25,80.32,2,Standard,0,4,100,17,1.4,1,0,1,1
358094,3120.7588,3121.7267,3121.7868,0.9679,58.07,3.6,61.68,1,Enhanced,0,4,174,11,1.0,1,0,0,1
542720,4731.1813,4732.908,4732.9284,1.7267,103.6,1.23,104.83,5,Standard,0,4,263,20,0.8,1,0,0,1
